category,fiscal_month,amount
general,1,-59.8
grants_revenue,1,59.3
community_development,1,-8.9
vehicle_rental_tax,1,5.5
hospital_assessment_fund,1,4.0
housing_trust_fund,1,21.1
other_funds,1,6.0
total_operating_funds,1,27.2
capital_improvement,1,165.5
industrial_and_commercial_dev,1,4.5
total_capital_funds,1,170.0
total_fund_equity,1,197.2
general,2,22.1
grants_revenue,2,106.0
community_development,2,-4.9
vehicle_rental_tax,2,6.0
hospital_assessment_fund,2,4.0
housing_trust_fund,2,21.8
other_funds,2,12.6
total_operating_funds,2,167.6
capital_improvement,2,172.9
industrial_and_commercial_dev,2,4.5
total_capital_funds,2,177.4
total_fund_equity,2,345.0
general,3,220.7
grants_revenue,3,44.0
community_development,3,-3.3
vehicle_rental_tax,3,3.5
hospital_assessment_fund,3,4.0
housing_trust_fund,3,21.2
other_funds,3,20.0
total_operating_funds,3,310.1
capital_improvement,3,164.7
industrial_and_commercial_dev,3,4.5
total_capital_funds,3,169.2
total_fund_equity,3,479.3
general,4,174.0
grants_revenue,4,44.2
community_development,4,-4.3
vehicle_rental_tax,4,3.9
hospital_assessment_fund,4,28.8
housing_trust_fund,4,20.7
other_funds,4,15.6
total_operating_funds,4,282.9
capital_improvement,4,155.1
industrial_and_commercial_dev,4,4.5
total_capital_funds,4,159.6
total_fund_equity,4,442.5
general,5,111.8
grants_revenue,5,80.7
community_development,5,-0.3
vehicle_rental_tax,5,4.3
hospital_assessment_fund,5,6.0
housing_trust_fund,5,20.6
other_funds,5,14.6
total_operating_funds,5,237.7
capital_improvement,5,152.0
industrial_and_commercial_dev,5,4.5
total_capital_funds,5,156.5
total_fund_equity,5,394.2
general,6,-11.8
grants_revenue,6,72.4
community_development,6,-0.5
vehicle_rental_tax,6,4.6
hospital_assessment_fund,6,8.0
housing_trust_fund,6,19.5
other_funds,6,11.8
total_operating_funds,6,104.0
capital_improvement,6,149.4
industrial_and_commercial_dev,6,4.5
total_capital_funds,6,153.9
total_fund_equity,6,257.9
general,7,2.9
grants_revenue,7,87.7
community_development,7,-2.7
vehicle_rental_tax,7,5.0
hospital_assessment_fund,7,8.9
housing_trust_fund,7,19.2
other_funds,7,8.5
total_operating_funds,7,129.5
capital_improvement,7,133.4
industrial_and_commercial_dev,7,4.5
total_capital_funds,7,137.9
total_fund_equity,7,267.4
general,8,184.4
grants_revenue,8,60.0
community_development,8,-3.0
vehicle_rental_tax,8,5.4
hospital_assessment_fund,8,4.0
housing_trust_fund,8,14.0
other_funds,8,9.0
total_operating_funds,8,273.8
capital_improvement,8,130.4
industrial_and_commercial_dev,8,4.5
total_capital_funds,8,134.9
total_fund_equity,8,408.7
general,9,59.6
grants_revenue,9,50.0
community_development,9,-3.0
vehicle_rental_tax,9,3.3
hospital_assessment_fund,9,4.0
housing_trust_fund,9,14.0
other_funds,9,9.0
total_operating_funds,9,136.9
capital_improvement,9,123.4
industrial_and_commercial_dev,9,4.5
total_capital_funds,9,127.9
total_fund_equity,9,264.8
general,10,139.4
grants_revenue,10,40.0
community_development,10,-3.0
vehicle_rental_tax,10,3.8
hospital_assessment_fund,10,2.0
housing_trust_fund,10,14.0
other_funds,10,9.0
total_operating_funds,10,205.2
capital_improvement,10,116.4
industrial_and_commercial_dev,10,4.5
total_capital_funds,10,120.9
total_fund_equity,10,326.1
general,11,-10.3
grants_revenue,11,40.0
community_development,11,-3.0
vehicle_rental_tax,11,4.3
hospital_assessment_fund,11,2.0
housing_trust_fund,11,12.0
other_funds,11,9.0
total_operating_funds,11,54.0
capital_improvement,11,109.4
industrial_and_commercial_dev,11,4.5
total_capital_funds,11,113.9
total_fund_equity,11,167.9
general,12,11.4
grants_revenue,12,40.0
community_development,12,-3.0
vehicle_rental_tax,12,4.8
hospital_assessment_fund,12,2.0
housing_trust_fund,12,12.0
other_funds,12,9.0
total_operating_funds,12,76.2
capital_improvement,12,102.4
industrial_and_commercial_dev,12,4.5
total_capital_funds,12,106.9
total_fund_equity,12,183.1
