0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2012,,,,,FISCAL YEAR 2013,,,
,YEAR,END ACTUAL,,,ADOPTED BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Licenses & Inspections,298,12,310,306,15,321,292,8,300,21
Managing Director (MDO),145,17,162,156,15,171,156,22,178,(7)
Mayor,33,4,37,36,4,40,36,3,39,1
Mayor - Office of Arts and Culture,2,0,2,2,0,2,2,0,2,0
Mayor - Office of the Inspector General,17,0,17,18,0,18,18,0,18,0
Mayor's Office of Comm. Svcs.,0,73,73,20,81,101,15,66,81,20
Mayor's Office of Transportation,8,2,10,12,1,13,13,2,15,(2)
Mural Arts Program,11,0,11,11,0,11,11,0,11,0
Off. of Behavioral Hith/Mental Retard. Svcs.,19,232,251,20,270,290,19,225,244,46
Office of Human Resources,80,0,80,86,0,86,78,0,78,8
Office of Innovation and Technology,255,67,322,289,84,373,255,69,324,49
Office of Property Assessment,157,0,157,218,0,218,173,o,173,45
Off.ot Supportive Housing,147,44,191,157,49,206,145,9,154,52
Office of Housing and Community Develop.,0,72,72,0,74,74,0,58,58,16
Parks and Recreation,574,22,596,609,27,636,568,21,589,47
Police Total,"7,225",165,"7,390","7,371",216,"7,587","7,193",164,"7,357",230
Civilian,812,11,823,846,11,857,815,10,825,32
Uniform,"6,413",154,"6,567","6,525",205,"6,730","6,378",154,"6,532",198
Prisons,"2,144",0,"2,144","2,310",0,"2,310","2,248",0,"2,248",62
Procurement,45,2,47,48,2,50,45,2,47,3
Public Health,669,224,893,749,290,"1,039",673,169,842,197
Public Property,122,0,122,144,0,144,123,0,123,21
Records,64,0,64,63,0,63,59,0,59,4
Register of Wills,61,0,61,65,0,65,64,0,64,1
Revenue,286,239,525,310,270,580,282,239,521,59
Sheriff,226,0,226,245,0,245,231,0,231,14
Streets,525,0,525,561,0,561,525,0,525,36
Streets - Sanitation,"1,157",0,"1,157","1,228",0,"1,228","1,165",0,"1,165",63
Water,0,"1,646","1,646",0,"1,907","1,907",0,"1,698","1,698",209
Youth Commission,1,0,1,1,0,1,1,0,1,0
Zoning Board of Adjustment,5,0,5,5,0,5,5,0,5,0
Zoning Code Commission,0,0,0,o,0,0,0,o,0,o
,,,,,,,,,,
TOTAL ALL FUNDS,"21,175","4,540","25,715","22,318","6,076","28,394","20,897","5,575","26,472","1,922"
