category,fiscal_month,amount
real_estate_tax,1,7.6
total_wage_earnings_net_profits,1,94.4
realty_transfer_tax,1,20.5
sales_tax,1,11.3
business_income_and_receipts_tax,1,5.0
other_taxes,1,5.3
locally_generated_nontax,1,15.0
total_other_governments,1,0.0
total_pica_other_governments,1,16.3
interfund_transfers,1,0.2
total_current_revenue,1,175.6
collection_of_prior_year_revenue,1,106.6
other_fund_balance_adjustments,1,7.0
total_cash_receipts,1,289.2
real_estate_tax,2,6.9
total_wage_earnings_net_profits,2,105.3
realty_transfer_tax,2,23.2
sales_tax,2,12.5
business_income_and_receipts_tax,2,2.7
other_taxes,2,7.6
locally_generated_nontax,2,18.2
total_other_governments,2,116.0
total_pica_other_governments,2,27.8
interfund_transfers,2,0.5
total_current_revenue,2,320.7
collection_of_prior_year_revenue,2,25.1
other_fund_balance_adjustments,2,0.0
total_cash_receipts,2,345.8
real_estate_tax,3,5.6
total_wage_earnings_net_profits,3,82.7
realty_transfer_tax,3,17.3
sales_tax,3,10.7
business_income_and_receipts_tax,3,12.1
other_taxes,3,5.0
locally_generated_nontax,3,21.2
total_other_governments,3,105.7
total_pica_other_governments,3,0.0
interfund_transfers,3,0.5
total_current_revenue,3,260.8
collection_of_prior_year_revenue,3,0.0
other_fund_balance_adjustments,3,0.0
total_cash_receipts,3,260.8
real_estate_tax,4,5.3
total_wage_earnings_net_profits,4,93.5
realty_transfer_tax,4,16.9
sales_tax,4,10.7
business_income_and_receipts_tax,4,20.9
other_taxes,4,4.0
locally_generated_nontax,4,19.5
total_other_governments,4,88.4
total_pica_other_governments,4,22.4
interfund_transfers,4,0.0
total_current_revenue,4,281.6
collection_of_prior_year_revenue,4,0.0
other_fund_balance_adjustments,4,0.0
total_cash_receipts,4,281.6
real_estate_tax,5,4.0
total_wage_earnings_net_profits,5,103.5
realty_transfer_tax,5,18.0
sales_tax,5,12.1
business_income_and_receipts_tax,5,1.3
other_taxes,5,4.1
locally_generated_nontax,5,18.0
total_other_governments,5,22.5
total_pica_other_governments,5,24.5
interfund_transfers,5,0.5
