category,fiscal_month,amount
real_estate_tax,1,9.7
total_wage_earnings_net_profits,1,99.6
realty_transfer_tax,1,14.8
sales_tax,1,11.0
business_income_and_receipts_tax,1,-1.3
other_taxes,1,6.3
locally_generated_nontax,1,18.5
total_other_governments,1,46.0
total_pica_other_governments,1,29.6
interfund_transfers,1,0.4
total_current_revenue,1,234.6
collection_of_prior_year_revenue,1,85.5
other_fund_balance_adjustments,1,-8.0
total_cash_receipts,1,312.1
real_estate_tax,2,6.4
total_wage_earnings_net_profits,2,103.7
realty_transfer_tax,2,16.7
sales_tax,2,13.1
business_income_and_receipts_tax,2,3.7
other_taxes,2,9.1
locally_generated_nontax,2,23.7
total_other_governments,2,65.2
total_pica_other_governments,2,0.0
interfund_transfers,2,0.4
total_current_revenue,2,242.0
collection_of_prior_year_revenue,2,45.2
other_fund_balance_adjustments,2,-8.0
total_cash_receipts,2,279.2
real_estate_tax,3,6.5
total_wage_earnings_net_profits,3,85.0
realty_transfer_tax,3,12.6
sales_tax,3,10.6
business_income_and_receipts_tax,3,15.4
other_taxes,3,7.2
locally_generated_nontax,3,39.7
total_other_governments,3,73.9
total_pica_other_governments,3,20.2
interfund_transfers,3,43.7
total_current_revenue,3,314.8
collection_of_prior_year_revenue,3,0.0
other_fund_balance_adjustments,3,0.0
total_cash_receipts,3,314.8
real_estate_tax,4,5.2
total_wage_earnings_net_profits,4,85.9
realty_transfer_tax,4,10.0
sales_tax,4,10.3
business_income_and_receipts_tax,4,7.6
other_taxes,4,7.6
locally_generated_nontax,4,14.0
total_other_governments,4,80.9
total_pica_other_governments,4,44.3
interfund_transfers,4,0.5
total_current_revenue,4,266.3
collection_of_prior_year_revenue,4,6.2
other_fund_balance_adjustments,4,0.0
total_cash_receipts,4,272.5
real_estate_tax,5,5.2
total_wage_earnings_net_profits,5,107.1
realty_transfer_tax,5,6.7
sales_tax,5,11.7
business_income_and_receipts_tax,5,-2.7
other_taxes,5,9.5
locally_generated_nontax,5,20.7
total_other_governments,5,19.0
total_pica_other_governments,5,21.6
interfund_transfers,5,0.5
total_current_revenue,5,199.3
collection_of_prior_year_revenue,5,0.0
other_fund_balance_adjustments,5,0.0
total_cash_receipts,5,199.3
real_estate_tax,6,10.7
total_wage_earnings_net_profits,6,87.4
realty_transfer_tax,6,8.9
sales_tax,6,9.5
business_income_and_receipts_tax,6,17.1
other_taxes,6,6.4
locally_generated_nontax,6,15.2
total_other_governments,6,20.3
total_pica_other_governments,6,0.0
interfund_transfers,6,43.6
total_current_revenue,6,219.1
collection_of_prior_year_revenue,6,0.0
other_fund_balance_adjustments,6,0.0
total_cash_receipts,6,219.1
real_estate_tax,7,27.2
total_wage_earnings_net_profits,7,103.7
realty_transfer_tax,7,11.1
sales_tax,7,10.0
business_income_and_receipts_tax,7,7.8
other_taxes,7,6.2
locally_generated_nontax,7,15.0
total_other_governments,7,21.0
total_pica_other_governments,7,35.8
interfund_transfers,7,1.9
total_current_revenue,7,239.8
collection_of_prior_year_revenue,7,0.0
other_fund_balance_adjustments,7,0.0
total_cash_receipts,7,239.8
real_estate_tax,8,199.4
total_wage_earnings_net_profits,8,83.6
realty_transfer_tax,8,7.4
sales_tax,8,9.1
business_income_and_receipts_tax,8,5.7
other_taxes,8,7.5
locally_generated_nontax,8,22.4
total_other_governments,8,86.5
total_pica_other_governments,8,23.3
interfund_transfers,8,2.1
total_current_revenue,8,446.9
collection_of_prior_year_revenue,8,0.0
other_fund_balance_adjustments,8,0.0
total_cash_receipts,8,446.9
real_estate_tax,9,101.7
total_wage_earnings_net_profits,9,91.5
realty_transfer_tax,9,9.2
sales_tax,9,8.8
